database	habitat	parameter	tp	fp	fn	accuracy	precision	taxonomy_level	tp	fp	fn	acc	precision
Database 5	Terrestrial	naive.70	81	4	32	69.23	95.29	family	69.23%	3.42%	27.35%	69.23%	95.29%
Database 5	Terrestrial	naive.80	76	3	38	64.96	96.2	family	64.96%	2.56%	32.48%	64.96%	96.2%
Database 5	Terrestrial	naive.90	74	0	43	63.25	100	family	63.25%	0%	36.75%	63.25%	100%
Database 1	Marine	blast.1.90	118	59	44	53.39	66.67	genus	53.39%	26.7%	19.91%	53.39%	66.67%
Database 1	Marine	blast.1.95	97	36	88	43.89	72.93	genus	43.89%	16.29%	39.82%	43.89%	72.93%
Database 1	Marine	blast.1.99	29	6	186	13.12	82.86	genus	13.12%	2.71%	84.16%	13.12%	82.86%
Database 1	Marine	blast.10.95	12	15	194	5.43	44.44	genus	5.43%	6.79%	87.78%	5.43%	44.44%
Database 1	Marine	blast.3.90	17	12	192	7.69	58.62	genus	7.69%	5.43%	86.88%	7.69%	58.62%
Database 1	Marine	naive.70	51	24	146	23.08	68	genus	23.08%	10.86%	66.06%	23.08%	68%
Database 1	Marine	naive.80	35	16	170	15.84	68.63	genus	15.84%	7.24%	76.92%	15.84%	68.63%
Database 1	Marine	naive.90	21	9	191	9.5	70	genus	9.5%	4.07%	86.43%	9.5%	70%
Database 2	Marine	blast.1.90	80	56	85	36.2	58.82	genus	36.2%	25.34%	38.46%	36.2%	58.82%
Database 2	Marine	blast.1.95	58	34	129	26.24	63.04	genus	26.24%	15.38%	58.37%	26.24%	63.04%
Database 2	Marine	blast.1.99	10	5	206	4.52	66.67	genus	4.52%	2.26%	93.21%	4.52%	66.67%
Database 2	Marine	blast.10.95	10	22	189	4.52	31.25	genus	4.52%	9.95%	85.52%	4.52%	31.25%
Database 2	Marine	blast.3.90	33	12	176	14.93	73.33	genus	14.93%	5.43%	79.64%	14.93%	73.33%
Database 2	Marine	naive.70	79	31	111	35.75	71.82	genus	35.75%	14.03%	50.23%	35.75%	71.82%
Database 2	Marine	naive.80	70	26	125	31.67	72.92	genus	31.67%	11.76%	56.56%	31.67%	72.92%
Database 2	Marine	naive.90	55	18	148	24.89	75.34	genus	24.89%	8.14%	66.97%	24.89%	75.34%
Database 3	Marine	blast.1.90	80	56	85	36.2	58.82	genus	36.2%	25.34%	38.46%	36.2%	58.82%
Database 3	Marine	blast.1.95	58	34	129	26.24	63.04	genus	26.24%	15.38%	58.37%	26.24%	63.04%
Database 3	Marine	blast.1.99	10	5	206	4.52	66.67	genus	4.52%	2.26%	93.21%	4.52%	66.67%
Database 3	Marine	blast.10.95	44	28	149	19.91	61.11	genus	19.91%	12.67%	67.42%	19.91%	61.11%
Database 3	Marine	blast.3.90	85	31	105	38.46	73.28	genus	38.46%	14.03%	47.51%	38.46%	73.28%
Database 3	Marine	naive.70	81	31	109	36.65	72.32	genus	36.65%	14.03%	49.32%	36.65%	72.32%
Database 3	Marine	naive.80	78	26	117	35.29	75	genus	35.29%	11.76%	52.94%	35.29%	75%
Database 3	Marine	naive.90	69	18	134	31.22	79.31	genus	31.22%	8.14%	60.63%	31.22%	79.31%
Database 4	Marine	blast.1.90	131	69	21	59.28	65.5	genus	59.28%	31.22%	9.5%	59.28%	65.5%
Database 4	Marine	blast.1.95	111	49	61	50.23	69.38	genus	50.23%	22.17%	27.6%	50.23%	69.38%
Database 4	Marine	blast.1.99	38	8	175	17.19	82.61	genus	17.19%	3.62%	79.19%	17.19%	82.61%
Database 4	Marine	blast.10.95	90	26	105	40.72	77.59	genus	40.72%	11.76%	47.51%	40.72%	77.59%
Database 4	Marine	blast.3.90	108	53	60	48.87	67.08	genus	48.87%	23.98%	27.15%	48.87%	67.08%
Database 4	Marine	naive.70	103	57	61	46.61	64.38	genus	46.61%	25.79%	27.6%	46.61%	64.38%
Database 4	Marine	naive.80	98	49	74	44.34	66.67	genus	44.34%	22.17%	33.48%	44.34%	66.67%
Database 4	Marine	naive.90	93	43	85	42.08	68.38	genus	42.08%	19.46%	38.46%	42.08%	68.38%
Database 5	Marine	blast.1.90	131	69	21	59.28	65.5	genus	59.28%	31.22%	9.5%	59.28%	65.5%
Database 5	Marine	blast.1.95	111	49	61	50.23	69.38	genus	50.23%	22.17%	27.6%	50.23%	69.38%
Database 5	Marine	blast.1.99	38	8	175	17.19	82.61	genus	17.19%	3.62%	79.19%	17.19%	82.61%
Database 5	Marine	blast.10.95	90	26	105	40.72	77.59	genus	40.72%	11.76%	47.51%	40.72%	77.59%
Database 5	Marine	blast.3.90	108	53	60	48.87	67.08	genus	48.87%	23.98%	27.15%	48.87%	67.08%
Database 5	Marine	naive.70	117	53	51	52.94	68.82	genus	52.94%	23.98%	23.08%	52.94%	68.82%
Database 5	Marine	naive.80	106	47	68	47.96	69.28	genus	47.96%	21.27%	30.77%	47.96%	69.28%
Database 5	Marine	naive.90	99	36	86	44.8	73.33	genus	44.8%	16.29%	38.91%	44.8%	73.33%
Database 1	Terrestrial	blast.1.90	46	26	45	39.32	63.89	genus	39.32%	22.22%	38.46%	39.32%	63.89%
Database 1	Terrestrial	blast.1.95	45	22	50	38.46	67.16	genus	38.46%	18.8%	42.74%	38.46%	67.16%
Database 1	Terrestrial	blast.1.99	36	5	76	30.77	87.8	genus	30.77%	4.27%	64.96%	30.77%	87.8%
Database 1	Terrestrial	blast.10.95	10	5	102	8.55	66.67	genus	8.55%	4.27%	87.18%	8.55%	66.67%
Database 1	Terrestrial	blast.3.90	18	12	87	15.38	60	genus	15.38%	10.26%	74.36%	15.38%	60%
Database 1	Terrestrial	naive.70	18	1	98	15.38	94.74	genus	15.38%	0.85%	83.76%	15.38%	94.74%
Database 1	Terrestrial	naive.80	13	1	103	11.11	92.86	genus	11.11%	0.85%	88.03%	11.11%	92.86%
Database 1	Terrestrial	naive.90	12	1	104	10.26	92.31	genus	10.26%	0.85%	88.89%	10.26%	92.31%
Database 2	Terrestrial	blast.1.90	50	24	43	42.74	67.57	genus	42.74%	20.51%	36.75%	42.74%	67.57%
Database 2	Terrestrial	blast.1.95	48	21	48	41.03	69.57	genus	41.03%	17.95%	41.03%	41.03%	69.57%
Database 2	Terrestrial	blast.1.99	36	3	78	30.77	92.31	genus	30.77%	2.56%	66.67%	30.77%	92.31%
Database 2	Terrestrial	blast.10.95	2	1	114	1.71	66.67	genus	1.71%	0.85%	97.44%	1.71%	66.67%
Database 2	Terrestrial	blast.3.90	10	0	107	8.55	100	genus	8.55%	0%	91.45%	8.55%	100%
Database 2	Terrestrial	naive.70	16	3	98	13.68	84.21	genus	13.68%	2.56%	83.76%	13.68%	84.21%
Database 2	Terrestrial	naive.80	12	2	103	10.26	85.71	genus	10.26%	1.71%	88.03%	10.26%	85.71%
Database 2	Terrestrial	naive.90	10	2	105	8.55	83.33	genus	8.55%	1.71%	89.74%	8.55%	83.33%
Database 3	Terrestrial	blast.1.90	50	26	41	42.74	65.79	genus	42.74%	22.22%	35.04%	42.74%	65.79%
Database 3	Terrestrial	blast.1.95	48	23	46	41.03	67.61	genus	41.03%	19.66%	39.32%	41.03%	67.61%
Database 3	Terrestrial	blast.1.99	35	4	78	29.91	89.74	genus	29.91%	3.42%	66.67%	29.91%	89.74%
Database 3	Terrestrial	blast.10.95	13	5	99	11.11	72.22	genus	11.11%	4.27%	84.62%	11.11%	72.22%
Database 3	Terrestrial	blast.3.90	35	26	56	29.91	57.38	genus	29.91%	22.22%	47.86%	29.91%	57.38%
Database 3	Terrestrial	naive.70	36	8	73	30.77	81.82	genus	30.77%	6.84%	62.39%	30.77%	81.82%
Database 3	Terrestrial	naive.80	33	4	80	28.21	89.19	genus	28.21%	3.42%	68.38%	28.21%	89.19%
Database 3	Terrestrial	naive.90	26	1	90	22.22	96.3	genus	22.22%	0.85%	76.92%	22.22%	96.3%
Database 4	Terrestrial	blast.1.90	62	26	29	52.99	70.45	genus	52.99%	22.22%	24.79%	52.99%	70.45%
Database 4	Terrestrial	blast.1.95	60	23	34	51.28	72.29	genus	51.28%	19.66%	29.06%	51.28%	72.29%
Database 4	Terrestrial	blast.1.99	45	4	68	38.46	91.84	genus	38.46%	3.42%	58.12%	38.46%	91.84%
Database 4	Terrestrial	blast.10.95	13	5	99	11.11	72.22	genus	11.11%	4.27%	84.62%	11.11%	72.22%
Database 4	Terrestrial	blast.3.90	33	26	58	28.21	55.93	genus	28.21%	22.22%	49.57%	28.21%	55.93%
Database 4	Terrestrial	naive.70	44	11	62	37.61	80	genus	37.61%	9.4%	52.99%	37.61%	80%
Database 4	Terrestrial	naive.80	43	7	67	36.75	86	genus	36.75%	5.98%	57.26%	36.75%	86%
